ubrn,rev_ubrn,ern,crn,nameline,tradstyle,address1,address2,address3,address4,address5,postcode,sic07,paye_jobs,turnover,legalstatus,trading_status,birth_date,death_date,death_code,uprn
1000012345000001,1000005432100001,1100000063,12000531,BIG BOX CEREAL 5 LTD,,(ROADWORKS) ,STAFFERTON WAY,MAIDENHEAD BERKS,,,SL6 1AZ,10612,1,10,1,A,01/04/2017,,,10023450194
1000012345000002,2000005432100001,1100000063,12021594,BIG BOX CEREAL 25 LTD,,(ROCKLEY DENE) ,CHERRYS ROAD,CUNDY CROSS,BARNSLEY,,S71 5QU,10612,1,10,1,A,01/04/2017,,,10023450191
1000012345000003,3000005432100001,1100000063,12048530,BIG BOX CEREAL 47 LTD,,(ROOFING SUPPLIES) ,163 FRESTON RD,LONDON,,,W10 6SQ,10612,1,10,1,A,01/04/2017,,,10023450204
1000012345000004,4000005432100001,1100000063,12094821,BIG BOX CEREAL 10 LTD,,(ROCHDALE),REDCROSS ST,ROCHDALE LANCS,,,OL12 0NS,10612,1,10,1,A,01/04/2017,,,10023450169
1000012345000005,5000005432100001,1100000063,12105317,BIG BOX CEREAL 37 LTD,,(ROMFORD) ,2 HIGH GARTH,ESHER,SURREY,,KT10 9DN,10612,1,10,1,A,01/04/2017,,,10023450152
1000012345000006,6000005432100001,1100000063,12117650,BIG BOX CEREAL LTD,,(ROAD MAINTENANCE) ,CENTURY HOUSE  CENTURY RD,RETFORD,NOTTS,,DN22 7TD,10612,1,10,1,A,01/04/2017,,,10023450134
1000012345000007,7000005432100001,1100000063,12146788,BIG BOX CEREAL 23 LTD,,(ROCHESTER & MEDWAY DIST),12A NEW ROAD AVENUE,CHATHAM,KENT,,ME4 6BB,10612,1,10,1,A,01/04/2017,,,10023450160
1000012345000008,8000005432100001,1100000063,12146805,BIG BOX CEREAL 43 LTD,,(ROOFING CONTRACTORS),23 MILTON ROAD,WAKEFIELD,W YORKSHIRE,,WF2 8TL,10612,1,10,1,A,01/04/2017,,,10023450208
1000012345000009,9000005432100001,1100000063,12174673,BIG BOX CEREAL 27 LTD,,(ROIT/COIT) (2731-2734),93 EBURY BRIDGE RD,LONDON,,,SW1W 8RB,10612,1,10,1,A,01/04/2017,,,10023450198
1000012345000010,0100005432100001,1100000063,12213988,BIG BOX CEREAL 13 LTD,,(ROCHDALE),YORK STREET,NEWBOLD,ROCHDALE,LANCS,OL16 5NZ,10612,1,10,1,A,01/04/2017,,,10023450178
1000012345000011,1100005432100001,1100000063,12213989,BIG BOX CEREAL 11 LTD,,(ROCHDALE),EDENFIELD ST,SPOTLAND,ROCHDALE,LANCS,OL12 7BP,10612,1,10,1,A,01/04/2017,,,10023450172
1000012345000012,2100005432100001,1100000063,12213990,BIG BOX CEREAL 15 LTD,,(ROCHDALE) ,WOOL HOUSE,20-24 CHEETHAM ST,ROCHDALE,LANCS,OL16 1DL,10612,1,10,1,A,01/04/2017,,,10023450175
1000012345000013,3100005432100001,1100000063,12213991,BIG BOX CEREAL 16 LTD,,(ROCHDALE) ,11 TWEEDALE STREET,ROCHDALE,LANCS,,OL11 1HH,10612,1,10,1,A,01/04/2017,,,10023450165
1000012345000014,4100005432100001,1100000063,12213992,BIG BOX CEREAL 12 LTD,,(ROCHDALE),NORDEN ROAD,BAMFORD,ROCHDALE,LANCASHIRE,OL11 5PN,10612,1,10,1,A,01/04/2017,,,10023450168
1000012345000015,5100005432100001,1100000063,12214913,BIG BOX CEREAL 14 LTD,,(ROCHDALE),37 ST ALBANS ST,ROCHDALE,LANCS,,OL16 1UT,10612,1,10,1,A,01/04/2017,,,10023450176
1000012345000016,6100005432100001,1100000063,12228814,BIG BOX CEREAL 42 LTD,,(ROOFING CONTRACTORS),34 THIRD AVE,DRUM INDUSTRIAL ESTATE,BIRTLEY,TYNE & WEAR,DH2 2EF,10612,1,10,1,A,01/04/2017,,,10023450131
